MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
ML81946105,FLTHOME,RES,REGHIST,12104,1817 Birch Circle,Portland,95215,147,1,1.0,3,4119,376,373,20-49.99AC,2023-11-09,5,13,2023-11-04,"$1,549,710",2023-12-05,"$1,536,387",2024,0,3,2,VA
ML81946106,ATTACHD,RES,REGHIST,9419,6190 Elm Court,Portland,95237,143,2,2.1,1,3560,534,549,10-19.99AC,2024-01-30,78,85,2023-11-13,"$1,899,609",2024-03-02,"$1,954,440",1998,460,0,2,LEAS-OP
ML81946107,ATTACHD,RES,FIXER,14480,3114 Cypress Place,Portland,95208,142,3,3.0,3,1756,990,966,20-49.99AC,2023-08-29,70,77,2023-06-20,"$1,738,925",2023-10-04,"$1,696,296",1951,506,3,2,OWNCRRY
ML81946108,IN-PARK,RES,RESTORD,6022,927 Walnut Avenue,Portland,95126,141,4,1.1,3,2528,497,515,"0-2,999SF",2024-02-07,60,66,2023-12-09,"$1,256,872",2024-02-27,"$1,301,920",1988,0,3,1,FMHA
ML81946109,RES-MFG,RES,NEW,13789,3237 Aspen Boulevard,Portland,95193,150,2,3.1,1,907,1727,1683,"3K-4,999SF",2023-07-19,40,48,2023-06-09,"$1,566,022",2023-08-19,"$1,526,481",1954,0,2,0,CALL-SA
ML81946110,CONDO,RES,NEW,3080,9007 Maple Lane,Portland,95146,150,6,4.0,2,1576,530,545,7-9.99AC,2024-08-25,26,29,2024-07-30,"$834,684",2024-09-19,"$858,920",1955,427,0,0,FCS
ML81946111,ATTACHD,RES,RESTORD,14334,9440 Redwood Road,Portland,95135,$141,6,2.0,1,3517,161,163,"15K-19,999SF",2023-10-21,16,19,2023-10-05,"$565,350",2023-11-16,"$573,271",1961,532,3,0,TRADE
ML81946112,ATTACHD,RES,FIXER,7245,7185 Pine Road,Portland,95135,141,3,3.0,3,3391,234,233,20K-.99AC,2024-06-27,39,44,2024-05-19,"$792,827",2024-07-31,"$790,103",2023,595,0,2,TRADE
ML81946113,PLNCOMM,RES,UNKNOWN,11481,6309 Pine Street,Portland,95163,143,4,2.1,1,4341,232,239,"0-2,999SF",2024-06-11,60,64,2024-04-12,"$1,006,221",2024-07-02,"$1,037,499",1981,0,0,1,NOFNCING
ML81946114,DETACHD,RES,REMOD,4736,8617 Magnolia Court,Portland,95131,142,2,2.1,1,1602,382,368,20K-.99AC,2024-06-30,79,88,2024-04-12,"$611,272",2024-08-07,"$589,536",1989,0,0,1,OWNCRRY
ML81946115,FLTHOME,RES,PROPOSD,11523,7747 Spruce Street,Portland,95182,141,5,2.0,1,1783,1077,1087,"15K-19,999SF",2023-10-09,14,23,2023-09-25,"$1,919,938",2023-11-04,"$1,938,121",1965,0,2,3,ASSMP
ML81946116,IN-PARK,RES,REMOD,14129,3931 Oak Way,Portland,95209,152,1,4.1,1,1131,1564,1580,"3K-4,999SF",2024-05-04,18,22,2024-04-16,"$1,768,991",2024-06-02,"$1,786,980",2019,0,1,2,TRADE
ML81946117,IN-PARK,RES,REMOD,5316,967 Cedar Way,City,95239,147,2,4.0,1,4060,76,78,7-9.99AC,2024-07-04,29,35,2024-06-05,"$310,344",2024-08-02,"$316,680",2009,0,1,0,CALL-SA
ML81946118,IN-PARK,RES,FIXER,5739,6288 Cedar Way,Portland,95149,152,4,3.0,1,938,1341,1402,"0-2,999SF",2024-02-12,82,88,2023-11-22,"$1,257,990",2024-03-21,"$1,315,076",2016,0,0,2,LEAS-OP
ML81946119,ATTACHD,RES,APPROX,11095,6913 Pine Place,Portland,95200,$141,6,3.0,2,2697,733,714,"0-2,999SF",2023-08-01,46,47,2023-06-16,"$1,977,422",2023-08-30,"$1,925,658",2001,155,2,1,LSE-BAK
ML81946120,IN-PARK,RES,APPROX,11103,3595 Cedar Avenue,Portland,95141,$141,1,2.0,2,2383,579,585,"7K-9,999SF",2024-06-19,48,48,2024-05-02,"$1,378,672",2024-07-21,"$1,394,055",2007,0,2,1,TRADE
ML81946121,CONDO,RES,UNKNOWN,7474,8127 Elm Place Unit 350,Lake Oswego,95168,143,2,1.1,3,2831,380,385,5-6.99AC,2024-09-05,87,95,2024-06-10,"$1,074,583",2024-10-06,"$1,089,935",1985,0,3,2,OWNCONT
ML81946122,FLTHOME,RES,UNDRCON,7736,9672 Elm Way,Lake Oswego,95115,152,2,3.0,2,2313,189,188,"7K-9,999SF",2024-12-21,49,57,2024-11-02,"$436,976",2025-01-22,"$434,844",1967,0,2,0,SGI
ML81946123,RES-MFG,RES,EXISTNG,7985,6636 Oak Circle,Portland,95104,152,4,4.0,1,1576,849,871,20-49.99AC,2023-11-04,18,27,2023-10-17,"$1,338,672",2023-12-07,"$1,372,696",2022,0,1,3,OWNCONT
ML81946124,ATTACHD,RES,RESTORD,11894,6366 Elm Road,Portland,95126,142,3,2.0,1,1683,712,700,3-4.99AC,2023-06-27,21,25,2023-06-06,"$1,198,477",2023-07-23,"$1,178,100",1983,403,0,3,ASSMP
ML81946125,PLNCOMM,RES,NEW,13415,2109 Magnolia Lane,Portland,95180,$141,5,1.1,1,2024,382,379,"7K-9,999SF",2023-05-02,24,25,2023-04-08,"$772,828",2023-05-27,"$767,096",2008,0,2,0,TRADE
ML81946126,FLTHOME,RES,RESTORD,4062,4308 Birch Avenue,Portland,95149,142,1,3.0,3,2951,451,442,7-9.99AC,2024-08-29,45,50,2024-07-15,"$1,331,228",2024-09-26,"$1,304,342",1997,0,0,3,LOW-INC
ML81946127,RES-MFG,RES,RESTORD,6190,1650 Aspen Road,Portland,95204,150,3,3.0,3,2152,910,949,3-4.99AC,2024-06-15,8,11,2024-06-07,"$1,958,132",2024-07-05,"$2,042,248",2000,0,1,3,LEAS-OP
ML81946128,RES-MFG,RES,EXISTNG,14935,5291 Redwood Road,Newberg,95162,147,4,1.0,1,3579,299,300,10-19.99AC,2024-06-03,6,13,2024-05-28,"$1,069,740",2024-07-12,"$1,073,700",1981,0,1,1,CONV
ML81946129,IN-PARK,RES,PROPOSD,5958,1879 Pine Court,Portland,95243,143,4,4.0,1,3734,98,102,5-6.99AC,2023-03-29,33,33,2023-02-24,"$366,702",2023-04-19,"$380,868",1985,0,0,0,SGI
ML81946130,CONDO,RES,RESTORD,13170,4349 Cherry Lane Unit 153,Portland,95136,150,2,1.1,3,2965,546,564,3-4.99AC,2023-05-22,11,15,2023-05-11,"$1,618,416",2023-06-30,"$1,672,260",2019,0,3,1,REHAB
ML81946131,ATTACHD,RES,FIXER,13912,3279 Birch Road,Portland,95100,142,4,2.0,2,2511,174,173,"3K-4,999SF",2024-04-25,69,78,2024-02-16,"$436,893",2024-06-03,"$434,403",1997,0,3,0,ASSMP
ML81946132,FLTHOME,RES,EXISTNG,5114,3381 Oak Road,Portland,95248,142,4,3.1,1,1234,369,369,10-19.99AC,2023-10-26,89,92,2023-07-29,"$454,995",2023-11-23,"$455,346",1964,0,1,0,CALL-SA
ML81946133,DETACHD,RES,FIXER,11958,5659 Birch Drive,Portland,95196,150,1,2.1,2,2181,650,622,"0-2,999SF",2024-05-20,88,94,2024-02-22,"$1,418,094",2024-06-29,"$1,356,582",1955,0,0,3,TRADE
ML81946134,RES-MFG,RES,FIXER,11584,2708 Magnolia Street,Gresham,95140,$141,6,4.0,3,829,1180,1176,3-4.99AC,2023-08-07,19,25,2023-07-19,"$978,445",2023-09-13,"$974,904",1993,0,2,0,LSE-BAK
ML81946135,DETACHD,RES,PROPOSD,11373,7762 Birch Place,Portland,95202,152,6,1.0,2,4006,287,293,"10K-14,999SF",2023-05-22,80,81,2023-03-03,"$1,151,162",2023-06-23,"$1,173,758",1992,0,3,2,USDA
ML81946136,DETACHD,RES,FIXER,7151,8599 Elm Circle,Portland,95233,142,1,4.0,2,2440,247,255,"5K-6,999SF",2023-12-03,22,22,2023-11-11,"$602,251",2023-12-30,"$622,200",1980,0,3,0,OTHER
ML81946137,IN-PARK,RES,REMOD,14590,8432 Pine Lane,Portland,95215,150,6,3.0,2,2896,147,145,1-2.99AC,2024-01-24,76,79,2023-11-09,"$425,289",2024-02-23,"$419,920",2000,0,0,3,OWNCONT
ML81946138,FLTHOME,RES,RESALE,4089,1105 Willow Drive,Portland,95178,141,5,1.1,2,970,1733,1762,10-19.99AC,2024-02-12,33,33,2024-01-10,"$1,680,646",2024-03-23,"$1,709,140",1963,0,0,0,OWNCONT
ML81946139,CONDO,RES,PROPOSD,4961,5824 Walnut Street,Portland,95144,150,2,3.0,3,1955,272,263,"10K-14,999SF",2025-01-02,33,42,2024-11-30,"$531,684",2025-02-11,"$514,165",1983,254,2,2,CONV
ML81946140,PLNCOMM,RES,RESALE,10443,4999 Aspen Place,Portland,95152,141,3,3.0,1,3450,562,565,3-4.99AC,2023-08-24,65,68,2023-06-20,"$1,939,069",2023-09-27,"$1,949,250",1977,0,0,0,VA
ML81946141,ATTACHD,RES,REGHIST,3989,5201 Elm Court,Portland,95176,$141,6,3.0,2,1201,646,670,10-19.99AC,2023-08-13,22,31,2023-07-22,"$775,893",2023-09-21,"$804,670",2021,0,1,1,OTHER
ML81946142,RES-MFG,RES,PROPOSD,4163,4540 Walnut Place,Tualatin,95161,143,5,2.0,1,1643,532,554,1-2.99AC,2023-06-09,35,42,2023-05-05,"$873,469",2023-07-02,"$910,222",1996,0,1,2,OTHER
ML81946143,FLTHOME,RES,REMOD,14196,5813 Walnut Way,Forest Grove,95102,150,6,3.0,3,3748,446,447,20K-.99AC,2024-09-13,85,89,2024-06-20,"$1,669,791",2024-10-06,"$1,675,356",1977,0,2,3,FCS
ML81946144,ATTACHD,RES,APPROX,6500,7267 Cedar Circle,Portland,95179,141,3,2.0,3,3121,349,349,7-9.99AC,2024-06-23,84,87,2024-03-31,"$1,090,040",2024-07-13,"$1,089,229",2012,0,2,2,LSE-BAK
ML81946145,DETACHD,RES,PROPOSD,12468,6517 Birch Way,Portland,95213,142,1,2.0,1,1312,1351,1314,"7K-9,999SF",2024-08-08,69,74,2024-05-31,"$1,772,982",2024-09-12,"$1,723,968",1974,0,0,3,TRADE
ML81946146,PLNCOMM,RES,REGHIST,9443,408 Cherry Court,Portland,95249,141,1,2.0,1,3006,384,391,7-9.99AC,2023-06-26,64,65,2023-04-23,"$1,154,403",2023-08-04,"$1,175,346",2005,0,2,0,USDA
ML81946147,RES-MFG,RES,UNKNOWN,3427,1383 Birch Drive,Portland,95110,150,6,2.0,1,1072,778,746,"3K-4,999SF",2023-02-11,30,33,2023-01-12,"$833,656",2023-03-23,"$799,712",1981,0,1,2,USDA
ML81946148,DETACHD,RES,RESTORD,12696,9336 Birch Road,Portland,95246,147,1,1.0,3,3804,311,309,20-49.99AC,2023-05-26,77,87,2023-03-10,"$1,182,118",2023-06-27,"$1,175,436",1961,0,0,0,USDA
ML81946149,IN-PARK,RES,REMOD,12581,1833 Maple Circle,Portland,95170,147,2,2.0,1,2889,462,470,"7K-9,999SF",2024-10-30,83,88,2024-08-08,"$1,333,490",2024-11-20,"$1,357,830",2007,0,3,2,OWNCRRY
ML81946150,PLNCOMM,RES,EXISTNG,12877,2186 Ash Court,Cornelius,95167,141,2,2.0,3,4397,112,113,"10K-14,999SF",2024-12-24,8,15,2024-12-16,"$491,297",2025-01-13,"$496,861",2012,0,3,0,USDA
ML81946151,FLTHOME,RES,APPROX,3989,3594 Redwood Way,Portland,95152,147,6,1.1,1,2858,569,567,20K-.99AC,2024-10-06,8,12,2024-09-28,"$1,626,302",2024-11-11,"$1,620,486",1957,0,2,2,SGI
ML81946152,PLNCOMM,RES,RESTORD,14973,6092 Elm Boulevard,Portland,95230,147,5,4.0,1,3367,142,137,10-19.99AC,2024-11-23,36,38,2024-10-18,"$477,096",2024-12-22,"$461,279",1973,0,2,0,NOFNCING
ML81946153,DETACHD,RES,REGHIST,10886,2971 Elm Court,Portland,95163,$141,6,1.1,2,4492,195,197,"3K-4,999SF",2023-01-25,13,22,2023-01-12,"$877,971",2023-02-16,"$884,924",1981,0,0,3,TRADE
ML81946154,FLTHOME,RES,UNDRCON,11537,5773 Maple Drive,Portland,95143,141,4,3.0,1,1185,1406,1404,"7K-9,999SF",2024-04-07,9,9,2024-03-29,"$1,666,608",2024-05-06,"$1,663,740",1987,0,3,0,CALL-SA
ML81946155,PLNCOMM,RES,UNDRCON,14471,3279 Birch Court,Portland,95232,152,5,4.0,1,4367,405,405,"3K-4,999SF",2024-04-10,57,62,2024-02-13,"$1,766,613",2024-05-08,"$1,768,635",2012,0,0,1,CALL-SA
ML81946156,ATTACHD,RES,PROPOSD,9596,6259 Willow Lane,Portland,95145,150,1,4.0,3,2717,499,523,5-6.99AC,2023-10-19,17,24,2023-10-02,"$1,355,970",2023-11-21,"$1,420,991",1959,0,2,2,ASSMP
ML81946157,CONDO,RES,UNKNOWN,13447,4671 Aspen Way Unit 148,Portland,95122,141,3,2.0,1,1973,180,179,"0-2,999SF",2025-02-02,47,57,2024-12-17,"$354,865",2025-02-28,"$353,167",1975,190,2,2,OTHER
ML81946158,CONDO,RES,RESTORD,14658,239 Aspen Avenue,Portland,95132,$141,2,4.1,2,3597,229,235,20-49.99AC,2024-04-04,57,64,2024-02-07,"$823,065",2024-05-09,"$845,295",1978,355,3,3,CONV
ML81946159,RES-MFG,RES,EXISTNG,8881,1363 Oak Lane,Portland,95145,147,2,3.0,3,3407,468,491,7-9.99AC,2024-02-19,46,47,2024-01-04,"$1,595,400",2024-03-22,"$1,672,837",2017,0,3,0,LSE-BAK
ML81946160,ATTACHD,RES,RESALE,14760,8357 Pine Street,Portland,95201,143,1,1.1,3,3453,574,584,"10K-14,999SF",2023-06-18,25,32,2023-05-24,"$1,981,645",2023-07-13,"$2,016,552",2009,421,2,1,FHA
ML81946161,CONDO,RES,UNDRCON,13028,8896 Willow Court Unit 347,Portland,95141,150,1,3.0,3,1822,290,290,"0-2,999SF",2024-12-29,29,38,2024-11-30,"$527,949",2025-01-20,"$528,380",2013,544,2,0,NOFNCING
ML81946162,RES-MFG,RES,PROPOSD,13880,6618 Willow Lane,Portland,95228,152,4,4.0,3,2002,516,525,"15K-19,999SF",2023-11-13,76,80,2023-08-29,"$1,032,826",2023-12-06,"$1,051,050",2022,0,2,0,CALL-SA
ML81946163,RES-MFG,RES,EXISTNG,9372,9860 Oak Boulevard,Portland,95178,147,6,3.0,2,1683,679,648,20-49.99AC,2024-05-16,5,9,2024-05-11,"$1,142,021",2024-06-14,"$1,090,584",2019,0,0,3,USDA
ML81946164,CONDO,RES,REMOD,3798,5924 Ash Lane Unit 312,Gresham,95233,141,1,3.1,3,4468,278,290,20-49.99AC,2024-11-11,23,30,2024-10-19,"$1,244,016",2024-12-16,"$1,295,720",1952,0,3,2,OWNCRRY
ML81946165,RES-MFG,RES,RESALE,13781,8043 Birch Place,Portland,95115,142,3,2.1,1,4455,283,289,"0-2,999SF",2023-08-31,75,80,2023-06-17,"$1,260,215",2023-09-25,"$1,287,495",1970,0,1,0,NOFNCING
ML81946166,RES-MFG,RES,APPROX,3180,4273 Spruce Road,Portland,95151,150,2,1.0,1,2558,514,498,5-6.99AC,2024-07-31,77,80,2024-05-15,"$1,316,029",2024-09-03,"$1,273,884",1954,0,3,2,NOFNCING
ML81946167,RES-MFG,RES,RESTORD,12332,8508 Elm Lane,Portland,95124,141,5,3.1,1,3530,527,510,20K-.99AC,2024-12-12,23,32,2024-11-19,"$1,861,153",2025-01-07,"$1,800,300",2002,0,0,1,NOFNCING
ML81946168,FLTHOME,RES,REMOD,8988,5138 Willow Circle,Portland,95115,$141,6,2.0,3,3629,207,198,"5K-6,999SF",2023-04-07,11,13,2023-03-27,"$750,130",2023-04-29,"$718,542",1974,0,0,0,TRADE
ML81946169,DETACHD,RES,REGHIST,12994,8173 Oak Way,Portland,95185,143,5,1.0,1,1251,917,889,3-4.99AC,2023-07-31,63,68,2023-05-29,"$1,147,492",2023-09-03,"$1,112,139",1970,0,3,3,SGI
ML81946170,CONDO,RES,EXISTNG,10037,9656 Willow Avenue Unit 101,Portland,95138,142,5,2.0,3,3612,536,547,"10K-14,999SF",2023-04-01,32,36,2023-02-28,"$1,934,762",2023-05-11,"$1,975,764",2013,0,3,3,OTHER
ML81946171,ATTACHD,RES,RESALE,12791,3809 Walnut Circle,Portland,95221,142,3,2.0,3,2329,339,326,"0-2,999SF",2023-06-28,47,57,2023-05-12,"$789,124",2023-07-24,"$759,254",1973,573,1,3,VA
ML81946172,PLNCOMM,RES,REGHIST,7612,9914 Cedar Place,Portland,95134,147,3,2.1,2,4325,84,83,10-19.99AC,2024-05-20,65,75,2024-03-16,"$361,224",2024-06-27,"$358,975",1999,0,0,2,REHAB
ML81946173,CONDO,RES,REMOD,14535,2570 Magnolia Street,Portland,95200,150,1,1.1,2,1176,1452,1387,"10K-14,999SF",2024-12-04,19,26,2024-11-15,"$1,707,968",2024-12-25,"$1,631,112",1950,0,3,3,ASSMP
ML81946174,DETACHD,RES,REGHIST,5496,6873 Oak Street,Gaston,95160,150,6,4.0,2,1003,407,418,"0-2,999SF",2023-10-09,17,25,2023-09-22,"$408,343",2023-11-18,"$419,254",1964,0,1,0,OTHER
ML81946175,ATTACHD,RES,FIXER,6703,3432 Cherry Way,Newberg,95245,147,1,4.1,3,2534,661,691,"15K-19,999SF",2023-08-07,37,37,2023-07-01,"$1,674,710",2023-08-28,"$1,750,994",2008,0,3,2,CONV
ML81946176,PLNCOMM,RES,PROPOSD,3330,8053 Maple Drive,Portland,95247,$141,4,2.1,3,1318,871,899,5-6.99AC,2023-07-04,78,81,2023-04-17,"$1,148,205",2023-08-07,"$1,184,882",1986,0,3,0,FCS
ML81946177,DETACHD,RES,REMOD,12449,4712 Magnolia Boulevard,Portland,95185,$141,6,3.1,3,3405,136,132,10-19.99AC,2024-10-27,44,49,2024-09-13,"$462,515",2024-11-28,"$449,460",1956,0,1,3,OTHER
ML81946178,CONDO,RES,EXISTNG,9369,3906 Birch Drive Unit 521,Gaston,95102,142,2,1.0,1,1651,717,740,"3K-4,999SF",2023-05-20,57,57,2023-03-24,"$1,183,927",2023-06-12,"$1,221,740",1995,442,1,2,NOFNCING
ML81946179,DETACHD,RES,NEW,8386,6896 Spruce Road,Portland,95194,$141,6,4.1,2,3454,492,475,"7K-9,999SF",2024-04-07,85,88,2024-01-13,"$1,697,717",2024-04-27,"$1,640,650",1951,0,0,2,SGI
ML81946180,CONDO,RES,PROPOSD,13144,4647 Birch Lane,Portland,95230,150,3,3.0,1,4063,213,207,5-6.99AC,2024-03-25,58,64,2024-01-27,"$866,228",2024-04-16,"$841,041",1967,177,0,0,CONV
ML81946181,DETACHD,RES,REMOD,3952,3197 Oak Boulevard,City,95134,143,5,3.0,2,2832,171,163,3-4.99AC,2024-03-01,82,86,2023-12-10,"$483,798",2024-03-31,"$461,616",1955,0,2,0,FMHA
ML81946182,CONDO,RES,REGHIST,9770,3958 Pine Avenue Unit 275,Portland,95154,150,2,2.1,3,4115,382,369,20-49.99AC,2023-06-14,87,89,2023-03-19,"$1,573,902",2023-07-19,"$1,518,435",2015,393,3,1,CONV
ML81946183,FLTHOME,RES,NEW,13739,8743 Pine Drive,Portland,95185,143,5,2.0,2,4035,249,251,5-6.99AC,2023-03-30,37,41,2023-02-21,"$1,005,576",2023-05-03,"$1,012,785",1961,0,2,1,CALL-SA
ML81946184,DETACHD,RES,REGHIST,9131,5644 Aspen Lane,Portland,95207,152,6,4.0,2,1244,1573,1606,"5K-6,999SF",2025-01-15,89,92,2024-10-18,"$1,956,809",2025-02-21,"$1,997,864",2014,0,0,2,USDA
ML81946185,PLNCOMM,RES,EXISTNG,13134,2548 Ash Avenue,Hillsboro,95241,$141,3,4.0,2,1630,774,769,10-19.99AC,2024-07-23,78,88,2024-05-06,"$1,260,845",2024-08-21,"$1,253,470",1967,0,3,2,OTHER
ML81946186,IN-PARK,RES,REMOD,7039,2948 Elm Court,Portland,95119,143,5,3.0,2,2063,866,845,5-6.99AC,2024-01-18,8,13,2024-01-10,"$1,786,328",2024-02-07,"$1,743,235",2006,0,2,2,FCS
ML81946187,ATTACHD,RES,APPROX,11132,1754 Oak Way,Portland,95157,150,5,3.1,3,2283,474,490,3-4.99AC,2025-01-06,20,29,2024-12-17,"$1,082,590",2025-02-04,"$1,118,670",1987,0,3,2,LSE-BAK
ML81946188,DETACHD,RES,RESTORD,4959,7898 Ash Circle,Portland,95204,150,4,4.0,3,4442,266,278,5-6.99AC,2023-03-15,30,40,2023-02-13,"$1,180,117",2023-04-21,"$1,234,876",1998,0,2,1,OWNCRRY
ML81946189,PLNCOMM,RES,UNDRCON,9287,1863 Maple Way,Portland,95133,150,1,2.0,1,1268,938,944,"10K-14,999SF",2024-06-19,77,77,2024-04-03,"$1,189,653",2024-07-18,"$1,196,992",2012,0,0,3,FHA
ML81946190,CONDO,RES,UNDRCON,4651,8842 Magnolia Boulevard,Cornelius,95172,$141,1,3.1,1,2313,854,887,1-2.99AC,2025-03-18,81,82,2024-12-27,"$1,974,609",2025-04-15,"$2,051,631",2001,0,1,0,OWNCONT
ML81946191,RES-MFG,RES,REMOD,12271,6164 Ash Boulevard,Beaverton,95163,142,1,1.0,1,3113,361,370,20K-.99AC,2023-03-09,21,27,2023-02-16,"$1,122,383",2023-04-18,"$1,151,810",1968,0,1,1,NOFNCING
ML81946192,CONDO,RES,REGHIST,13631,3789 Birch Road Unit 551,Portland,95216,142,6,2.1,2,1258,1100,1133,"10K-14,999SF",2023-08-28,23,32,2023-08-05,"$1,383,974",2023-10-07,"$1,425,314",2006,0,3,0,LOW-INC
ML81946193,FLTHOME,RES,EXISTNG,7492,4618 Spruce Court,Newberg,95241,147,4,1.1,3,2049,778,776,20K-.99AC,2024-10-02,37,41,2024-08-26,"$1,593,453",2024-11-03,"$1,590,024",1955,0,1,2,LOW-INC
ML81946194,FLTHOME,RES,REMOD,7565,8451 Birch Way,Portland,95157,152,4,3.1,2,3211,386,396,10-19.99AC,2024-06-21,50,51,2024-05-02,"$1,240,095",2024-07-18,"$1,271,556",1972,0,3,3,REHAB
ML81946195,FLTHOME,RES,APPROX,10135,7145 Cherry Place,Portland,95215,$141,4,1.0,1,3130,599,574,3-4.99AC,2023-05-02,69,70,2023-02-22,"$1,875,479",2023-05-29,"$1,796,620",1963,0,0,3,CASH
ML81946196,CONDO,RES,PROPOSD,12245,7877 Magnolia Place,Gales Creek,95215,147,1,3.1,3,1437,1383,1355,5-6.99AC,2024-11-11,40,40,2024-10-02,"$1,986,702",2024-12-16,"$1,947,135",2015,0,3,0,FHA
ML81946197,FLTHOME,RES,UNDRCON,12765,9070 Walnut Court,Portland,95167,141,5,1.1,3,2491,133,131,10-19.99AC,2023-04-30,61,66,2023-02-28,"$330,107",2023-05-30,"$326,321",2005,0,0,2,OTHER
ML81946198,ATTACHD,RES,APPROX,4634,3339 Spruce Court,Gaston,95115,143,4,1.0,1,3267,377,370,"10K-14,999SF",2025-01-19,67,69,2024-11-13,"$1,230,569",2025-02-20,"$1,208,790",1951,427,2,0,LOW-INC
ML81946199,FLTHOME,RES,REMOD,12294,2853 Oak Circle,Portland,95158,143,4,4.0,2,4284,269,260,"15K-19,999SF",2025-01-27,77,85,2024-11-11,"$1,151,515",2025-03-03,"$1,113,840",1989,0,0,2,FMHA
ML81946200,IN-PARK,RES,EXISTNG,7643,9933 Pine Way,Aloha,95227,152,6,1.0,1,1496,963,993,5-6.99AC,2025-01-03,83,89,2024-10-12,"$1,440,753",2025-02-04,"$1,485,528",1966,0,1,3,LEAS-OP
ML81946201,PLNCOMM,RES,EXISTNG,13235,8608 Birch Court,Portland,95103,150,1,2.1,2,3343,518,503,7-9.99AC,2023-08-05,44,52,2023-06-22,"$1,731,544",2023-09-05,"$1,681,529",1952,0,3,2,OTHER
ML81946202,CONDO,RES,EXISTNG,4059,6554 Elm Circle,Gresham,95240,152,1,1.0,3,3234,469,464,20K-.99AC,2024-02-19,22,31,2024-01-28,"$1,515,364",2024-03-30,"$1,500,576",1981,387,1,3,OWNCONT
ML81946203,PLNCOMM,RES,REGHIST,8212,9649 Spruce Lane,Gaston,95167,141,1,3.1,3,4418,428,412,1-2.99AC,2024-02-02,42,43,2023-12-22,"$1,891,334",2024-03-07,"$1,820,216",2010,0,3,2,SGI
ML81946204,FLTHOME,RES,UNKNOWN,9395,1893 Maple Boulevard,Portland,95151,$141,2,4.0,3,4296,358,368,"15K-19,999SF",2024-06-08,49,59,2024-04-20,"$1,539,740",2024-07-02,"$1,580,928",2022,0,3,3,FMHA
ML81946205,PLNCOMM,RES,APPROX,8180,8993 Oak Court,Tualatin,95182,142,4,2.0,3,2977,599,616,"10K-14,999SF",2024-08-20,31,31,2024-07-20,"$1,783,381",2024-09-25,"$1,833,832",2002,0,3,2,FHA
ML81946206,DETACHD,RES,EXISTNG,5495,478 Ash Boulevard,West Linn,95167,143,6,2.1,1,1136,740,772,"0-2,999SF",2024-06-01,39,46,2024-04-23,"$841,068",2024-07-02,"$876,992",1975,0,3,2,FHA
ML81946207,ATTACHD,RES,REMOD,8020,342 Pine Circle,Portland,95177,143,2,4.0,1,2293,823,820,5-6.99AC,2023-05-05,57,63,2023-03-09,"$1,888,150",2023-06-01,"$1,880,260",1995,301,0,1,LEAS-OP
ML81946208,ATTACHD,RES,EXISTNG,13960,7714 Aspen Street,Portland,95164,152,1,2.0,3,2287,694,695,"5K-6,999SF",2024-10-04,32,32,2024-09-02,"$1,586,265",2024-10-27,"$1,589,465",1952,0,1,0,CASH
ML81946209,DETACHD,RES,REGHIST,14092,2918 Aspen Drive,Hillsboro,95153,147,6,2.0,1,4405,281,271,"10K-14,999SF",2024-02-25,71,81,2023-12-16,"$1,237,403",2024-03-29,"$1,193,755",2002,0,0,1,VA
ML81946210,CONDO,RES,UNDRCON,13274,5408 Cypress Street,Portland,95124,150,4,3.1,3,2584,304,311,"15K-19,999SF",2024-02-12,59,63,2023-12-15,"$785,565",2024-03-20,"$803,624",1955,562,2,0,CONV
ML81946211,FLTHOME,RES,REMOD,13780,4235 Elm Court,Portland,95191,150,4,3.0,1,1669,689,692,1-2.99AC,2023-04-10,23,26,2023-03-18,"$1,150,270",2023-05-10,"$1,154,948",2018,0,2,0,VA
ML81946212,CONDO,RES,RESALE,11567,5864 Ash Avenue,Portland,95150,141,6,4.1,2,4256,309,323,7-9.99AC,2023-03-02,52,60,2023-01-09,"$1,317,131",2023-04-06,"$1,374,688",1997,530,2,0,VA
ML81946213,DETACHD,RES,RESTORD,13470,2472 Oak Place,West Linn,95205,142,6,1.0,1,1360,958,1005,1-2.99AC,2024-07-07,62,69,2024-05-06,"$1,302,490",2024-08-12,"$1,366,800",1997,0,2,1,VA
ML81946214,DETACHD,RES,APPROX,8792,9380 Redwood Way,Portland,95128,147,5,4.1,3,2399,515,506,"15K-19,999SF",2023-11-09,70,77,2023-08-31,"$1,236,426",2023-12-13,"$1,213,894",2003,0,1,1,FMHA
ML81946215,FLTHOME,RES,APPROX,11430,9597 Ash Place,Portland,95137,147,4,3.1,3,1154,1474,1524,"7K-9,999SF",2023-06-21,40,44,2023-05-12,"$1,700,805",2023-07-29,"$1,758,696",1989,0,0,1,ASSMP
ML81946216,CONDO,RES,UNDRCON,8783,5380 Magnolia Avenue Unit 479,Portland,95194,143,5,4.0,1,1026,1379,1371,"10K-14,999SF",2024-05-05,16,17,2024-04-19,"$1,414,461",2024-06-08,"$1,406,646",2011,421,1,3,FMHA
